train_acc,epoch,step,train_loss,lr-AdamW,val_loss,val_acc,test_acc,test_loss
,,0,,0.0003,,,,
0.23046875,0,49,1.9732041358947754,,,,,
0.3515625,0,99,1.8934879302978516,,,,,
0.28125,0,149,1.81252121925354,,,,,
,0,174,,,1.7464783191680908,0.35179999470710754,,
,,175,,0.0003,,,,
0.3515625,1,199,1.6767184734344482,,,,,
0.3515625,1,249,1.6317899227142334,,,,,
0.390625,1,299,1.5929248332977295,,,,,
0.43359375,1,349,1.6150532960891724,,,,,
,1,349,,,1.5715200901031494,0.43479999899864197,,
,,350,,0.0003,,,,
0.41796875,2,399,1.5968737602233887,,,,,
0.5,2,449,1.4766920804977417,,,,,
0.44921875,2,499,1.4791133403778076,,,,,
,2,524,,,1.457030177116394,0.47760000824928284,,
,,525,,0.0003,,,,
0.47265625,3,549,1.4659111499786377,,,,,
0.4453125,3,599,1.5274152755737305,,,,,
0.50390625,3,649,1.3625032901763916,,,,,
0.55859375,3,699,1.1880193948745728,,,,,
,3,699,,,1.3432193994522095,0.5194000005722046,,
,,700,,0.0003,,,,
0.45703125,4,749,1.4126715660095215,,,,,
0.4921875,4,799,1.353588342666626,,,,,
0.52734375,4,849,1.2828718423843384,,,,,
,4,874,,,1.2920564413070679,0.5406000018119812,,
,,875,,0.0003,,,,
0.515625,5,899,1.3962482213974,,,,,
0.5078125,5,949,1.3466297388076782,,,,,
0.53125,5,999,1.2356605529785156,,,,,
0.4921875,5,1049,1.3269323110580444,,,,,
,5,1049,,,1.3647220134735107,0.5072000026702881,,
,,1050,,0.0003,,,,
0.47265625,6,1099,1.462929368019104,,,,,
0.5859375,6,1149,1.2190388441085815,,,,,
0.4921875,6,1199,1.3949192762374878,,,,,
,6,1224,,,1.3682208061218262,0.5062000155448914,,
,,1225,,0.0003,,,,
0.5390625,7,1249,1.3013871908187866,,,,,
0.4921875,7,1299,1.437835454940796,,,,,
0.52734375,7,1349,1.2840244770050049,,,,,
0.515625,7,1399,1.3067981004714966,,,,,
,7,1399,,,1.3163838386535645,0.521399974822998,,
,,1400,,0.0003,,,,
0.51171875,8,1449,1.4080673456192017,,,,,
0.51171875,8,1499,1.4529749155044556,,,,,
0.484375,8,1549,1.4054628610610962,,,,,
,8,1574,,,1.359209418296814,0.5162000060081482,,
,,1575,,0.0003,,,,
0.51171875,9,1599,1.3035409450531006,,,,,
0.45703125,9,1649,1.4236925840377808,,,,,
0.5546875,9,1699,1.3716685771942139,,,,,
0.51171875,9,1749,1.4080774784088135,,,,,
,9,1749,,,1.413235068321228,0.48240000009536743,,
,,1750,,0.0003,,,,
0.4921875,10,1799,1.3283535242080688,,,,,
0.38671875,10,1849,1.6795833110809326,,,,,
0.4375,10,1899,1.503375768661499,,,,,
,10,1924,,,1.4040391445159912,0.498199999332428,,
,,1925,,0.0003,,,,
0.46484375,11,1949,1.4949945211410522,,,,,
0.515625,11,1999,1.369557499885559,,,,,
0.54296875,11,2049,1.2290074825286865,,,,,
0.4609375,11,2099,1.3429890871047974,,,,,
,11,2099,,,1.3623908758163452,0.5166000127792358,,
,,2100,,0.0003,,,,
0.484375,12,2149,1.3637665510177612,,,,,
0.484375,12,2199,1.3659625053405762,,,,,
0.46484375,12,2249,1.4371187686920166,,,,,
,12,2274,,,1.4591869115829468,0.4643999934196472,,
,,2275,,0.0003,,,,
0.546875,13,2299,1.2867225408554077,,,,,
0.5390625,13,2349,1.3571100234985352,,,,,
0.484375,13,2399,1.510472297668457,,,,,
0.50390625,13,2449,1.3311216831207275,,,,,
,13,2449,,,1.3873142004013062,0.49799999594688416,,
,,2450,,0.0003,,,,
0.5,14,2499,1.3719706535339355,,,,,
0.5,14,2549,1.3466964960098267,,,,,
0.55078125,14,2599,1.2734861373901367,,,,,
,14,2624,,,1.2933452129364014,0.5342000126838684,,
,,2625,,0.0003,,,,
0.5,15,2649,1.3483842611312866,,,,,
0.5,15,2699,1.3688745498657227,,,,,
0.42578125,15,2749,1.592411994934082,,,,,
0.546875,15,2799,1.3600990772247314,,,,,
,15,2799,,,1.3440395593643188,0.5198000073432922,,
,,2800,,0.0003,,,,
0.5234375,16,2849,1.3712661266326904,,,,,
0.5078125,16,2899,1.3225152492523193,,,,,
0.5234375,16,2949,1.367889404296875,,,,,
,16,2974,,,1.506005048751831,0.46560001373291016,,
,,2975,,0.0003,,,,
0.55859375,17,2999,1.2708677053451538,,,,,
0.57421875,17,3049,1.2648062705993652,,,,,
0.58203125,17,3099,1.1374597549438477,,,,,
0.546875,17,3149,1.288103461265564,,,,,
,17,3149,,,1.2699998617172241,0.5455999970436096,,
,,3150,,0.0003,,,,
0.53125,18,3199,1.3692070245742798,,,,,
0.55859375,18,3249,1.2853708267211914,,,,,
0.56640625,18,3299,1.1732752323150635,,,,,
,18,3324,,,1.3097001314163208,0.5351999998092651,,
,,3325,,0.0003,,,,
0.49609375,19,3349,1.4156014919281006,,,,,
0.5546875,19,3399,1.288913607597351,,,,,
0.5234375,19,3449,1.2841094732284546,,,,,
0.52734375,19,3499,1.291296124458313,,,,,
,19,3499,,,1.3126260042190552,0.531000018119812,,
,,3500,,0.0003,,,,
0.51171875,20,3549,1.4503486156463623,,,,,
0.4765625,20,3599,1.402094841003418,,,,,
0.5234375,20,3649,1.327722191810608,,,,,
,20,3674,,,1.3666332960128784,0.5088000297546387,,
,,3675,,0.0003,,,,
0.5234375,21,3699,1.2949261665344238,,,,,
0.53125,21,3749,1.2968690395355225,,,,,
0.5078125,21,3799,1.3749233484268188,,,,,
0.53515625,21,3849,1.2690736055374146,,,,,
,21,3849,,,1.330361008644104,0.5181999802589417,,
,,3850,,0.0003,,,,
0.47265625,22,3899,1.4596998691558838,,,,,
0.51171875,22,3949,1.3054969310760498,,,,,
0.5546875,22,3999,1.1767176389694214,,,,,
,22,4024,,,1.3202308416366577,0.5332000255584717,,
,,4025,,0.0003,,,,
0.59375,23,4049,1.1636584997177124,,,,,
0.546875,23,4099,1.2773367166519165,,,,,
0.5703125,23,4149,1.166380763053894,,,,,
0.57421875,23,4199,1.1540862321853638,,,,,
,23,4199,,,1.237440824508667,0.5514000058174133,,
,,4200,,0.0003,,,,
0.62890625,24,4249,1.1026310920715332,,,,,
0.59375,24,4299,1.1281956434249878,,,,,
0.57421875,24,4349,1.1756154298782349,,,,,
,24,4374,,,1.1641675233840942,0.5785999894142151,,
,,4375,,0.0003,,,,
0.5625,25,4399,1.1289006471633911,,,,,
0.578125,25,4449,1.0982270240783691,,,,,
0.58203125,25,4499,1.1910700798034668,,,,,
0.5703125,25,4549,1.2443740367889404,,,,,
,25,4549,,,1.1875996589660645,0.5740000009536743,,
,,4550,,0.0003,,,,
0.5859375,26,4599,1.177205204963684,,,,,
0.5234375,26,4649,1.2752139568328857,,,,,
0.55859375,26,4699,1.1717852354049683,,,,,
,26,4724,,,1.2525019645690918,0.5616000294685364,,
,,4725,,0.0003,,,,
0.5625,27,4749,1.2336889505386353,,,,,
0.5390625,27,4799,1.308430552482605,,,,,
0.5390625,27,4849,1.3035781383514404,,,,,
0.59765625,27,4899,1.1510447263717651,,,,,
,27,4899,,,1.2270418405532837,0.5604000091552734,,
,,4900,,0.0003,,,,
0.5546875,28,4949,1.2822502851486206,,,,,
0.609375,28,4999,1.0760339498519897,,,,,
0.65234375,28,5049,1.019666075706482,,,,,
,28,5074,,,1.1615079641342163,0.5777999758720398,,
,,5075,,0.0003,,,,
0.54296875,29,5099,1.2627474069595337,,,,,
0.5703125,29,5149,1.1815904378890991,,,,,
0.5390625,29,5199,1.2331981658935547,,,,,
0.58984375,29,5249,1.170253872871399,,,,,
,29,5249,,,1.1519033908843994,0.5813999772071838,,
,,5250,,0.0003,,,,
0.62890625,30,5299,1.0484219789505005,,,,,
0.578125,30,5349,1.1955593824386597,,,,,
0.47265625,30,5399,1.3734086751937866,,,,,
,30,5424,,,1.24345862865448,0.5537999868392944,,
,,5425,,0.0003,,,,
0.52734375,31,5449,1.372238278388977,,,,,
0.578125,31,5499,1.2357628345489502,,,,,
0.546875,31,5549,1.2118780612945557,,,,,
0.6171875,31,5599,1.0471227169036865,,,,,
,31,5599,,,1.1641305685043335,0.5777999758720398,,
,,5600,,0.0003,,,,
0.5859375,32,5649,1.0909979343414307,,,,,
0.5703125,32,5699,1.2017096281051636,,,,,
0.61328125,32,5749,1.128251075744629,,,,,
,32,5774,,,1.1356072425842285,0.5947999954223633,,
,,5775,,0.0003,,,,
0.52734375,33,5799,1.3742324113845825,,,,,
0.65625,33,5849,1.0253524780273438,,,,,
0.62109375,33,5899,1.1235027313232422,,,,,
0.5546875,33,5949,1.1990996599197388,,,,,
,33,5949,,,1.16946280002594,0.5781999826431274,,
,,5950,,0.0003,,,,
0.53515625,34,5999,1.2331074476242065,,,,,
0.52734375,34,6049,1.3249276876449585,,,,,
0.5703125,34,6099,1.322655439376831,,,,,
,34,6124,,,1.2057582139968872,0.5708000063896179,,
,,6125,,0.0003,,,,
0.58203125,35,6149,1.164310097694397,,,,,
0.55859375,35,6199,1.21073317527771,,,,,
0.5703125,35,6249,1.1763765811920166,,,,,
0.6015625,35,6299,1.1486659049987793,,,,,
,35,6299,,,1.1472188234329224,0.5802000164985657,,
,,6300,,0.0003,,,,
0.6171875,36,6349,1.0397285223007202,,,,,
0.58984375,36,6399,1.1231881380081177,,,,,
0.55078125,36,6449,1.2707523107528687,,,,,
,36,6474,,,1.1932061910629272,0.5807999968528748,,
,,6475,,0.0003,,,,
0.578125,37,6499,1.1860677003860474,,,,,
0.53515625,37,6549,1.3089195489883423,,,,,
0.61328125,37,6599,1.1785058975219727,,,,,
0.58203125,37,6649,1.1981602907180786,,,,,
,37,6649,,,1.1959373950958252,0.5874000191688538,,
,,6650,,0.0003,,,,
0.6171875,38,6699,1.097067952156067,,,,,
0.5859375,38,6749,1.1218652725219727,,,,,
0.5390625,38,6799,1.3508541584014893,,,,,
,38,6824,,,1.2046282291412354,0.5727999806404114,,
,,6825,,0.0003,,,,
0.59375,39,6849,1.1931283473968506,,,,,
0.609375,39,6899,1.0473029613494873,,,,,
0.59765625,39,6949,1.2066582441329956,,,,,
0.62890625,39,6999,1.126304030418396,,,,,
,39,6999,,,1.1482847929000854,0.5896000266075134,,
,,7000,,0.0003,,,,
0.640625,40,7049,1.0327764749526978,,,,,
0.63671875,40,7099,1.0345526933670044,,,,,
0.62109375,40,7149,1.0631039142608643,,,,,
,40,7174,,,1.151428461074829,0.5925999879837036,,
,,7175,,0.0003,,,,
0.61328125,41,7199,1.1492305994033813,,,,,
0.58984375,41,7249,1.1511476039886475,,,,,
0.62109375,41,7299,1.106153964996338,,,,,
0.625,41,7349,1.0309128761291504,,,,,
,41,7349,,,1.1105468273162842,0.5916000008583069,,
,,7350,,0.0003,,,,
0.61328125,42,7399,1.084831714630127,,,,,
0.546875,42,7449,1.2057280540466309,,,,,
0.58984375,42,7499,1.103814959526062,,,,,
,42,7524,,,1.134874701499939,0.5968000292778015,,
,,7525,,0.0003,,,,
0.578125,43,7549,1.1924901008605957,,,,,
0.60546875,43,7599,1.123273253440857,,,,,
0.6015625,43,7649,1.0611225366592407,,,,,
0.6328125,43,7699,1.1021394729614258,,,,,
,43,7699,,,1.1226805448532104,0.6025999784469604,,
,,7700,,0.0003,,,,
0.6171875,44,7749,0.9899611473083496,,,,,
0.609375,44,7799,1.1178117990493774,,,,,
0.59765625,44,7849,1.047147512435913,,,,,
,44,7874,,,1.2083019018173218,0.5708000063896179,,
,,7875,,0.0003,,,,
0.61328125,45,7899,1.1276861429214478,,,,,
0.5625,45,7949,1.1636109352111816,,,,,
0.5390625,45,7999,1.2586067914962769,,,,,
0.5703125,45,8049,1.1974996328353882,,,,,
,45,8049,,,1.1742650270462036,0.5756000280380249,,
,,8050,,0.0003,,,,
0.6484375,46,8099,1.0723105669021606,,,,,
0.62109375,46,8149,1.0380886793136597,,,,,
0.55859375,46,8199,1.1827967166900635,,,,,
,46,8224,,,1.0812774896621704,0.6194000244140625,,
,,8225,,0.0003,,,,
0.59765625,47,8249,1.083592176437378,,,,,
0.62890625,47,8299,1.088395357131958,,,,,
0.546875,47,8349,1.1549021005630493,,,,,
0.61328125,47,8399,1.1075066328048706,,,,,
,47,8399,,,1.1117502450942993,0.6065999865531921,,
,,8400,,0.0003,,,,
0.62109375,48,8449,1.059253454208374,,,,,
0.59375,48,8499,1.090880274772644,,,,,
0.578125,48,8549,1.2083483934402466,,,,,
,48,8574,,,1.1097021102905273,0.6014000177383423,,
,,8575,,0.0003,,,,
0.609375,49,8599,0.9908877611160278,,,,,
0.5625,49,8649,1.2105600833892822,,,,,
0.6015625,49,8699,1.1887876987457275,,,,,
0.578125,49,8749,1.1424839496612549,,,,,
,49,8749,,,1.1416007280349731,0.5881999731063843,,
,,8750,,0.0003,,,,
0.6328125,50,8799,1.024186372756958,,,,,
0.625,50,8849,1.0375393629074097,,,,,
0.56640625,50,8899,1.1567680835723877,,,,,
,50,8924,,,1.1811825037002563,0.576200008392334,,
,,8925,,0.0003,,,,
0.58984375,51,8949,1.131808876991272,,,,,
0.58984375,51,8999,1.1412546634674072,,,,,
0.5546875,51,9049,1.1556236743927002,,,,,
0.55859375,51,9099,1.1986316442489624,,,,,
,51,9099,,,1.221846103668213,0.5605999827384949,,
,,9100,,0.0003,,,,
0.51953125,52,9149,1.2528716325759888,,,,,
0.56640625,52,9199,1.1248995065689087,,,,,
0.62109375,52,9249,1.0912978649139404,,,,,
,52,9274,,,1.1266061067581177,0.5935999751091003,,
,,9275,,0.0003,,,,
0.56640625,53,9299,1.1777046918869019,,,,,
0.59765625,53,9349,1.1601775884628296,,,,,
0.53515625,53,9399,1.319735050201416,,,,,
0.5859375,53,9449,1.157807469367981,,,,,
,53,9449,,,1.1980040073394775,0.5672000050544739,,
,,9450,,0.0003,,,,
0.62890625,54,9499,1.0805429220199585,,,,,
0.62109375,54,9549,1.0667730569839478,,,,,
0.5390625,54,9599,1.1419486999511719,,,,,
,54,9624,,,1.1226437091827393,0.5979999899864197,,
,,9625,,0.0003,,,,
