train_loss,step,train_acc,epoch,lr-AdamW,val_loss,val_acc,test_acc,test_loss
,0,,,0.0003,,,,
1.9276249408721924,49,0.26953125,0,,,,,
1.7177469730377197,99,0.3828125,0,,,,,
1.6106051206588745,149,0.3828125,0,,,,,
,174,,0,,3.140254497528076,0.19979999959468842,,
,175,,,0.0003,,,,
1.433914303779602,199,0.46484375,1,,,,,
1.2929431200027466,249,0.53515625,1,,,,,
1.3159136772155762,299,0.5078125,1,,,,,
1.289029836654663,349,0.52734375,1,,,,,
,349,,1,,3.4737589359283447,0.1868000030517578,,
,350,,,0.0003,,,,
1.2363767623901367,399,0.5390625,2,,,,,
1.2499901056289673,449,0.5703125,2,,,,,
1.2376071214675903,499,0.5703125,2,,,,,
,524,,2,,3.4316909313201904,0.19259999692440033,,
,525,,,0.0003,,,,
1.1642321348190308,549,0.60546875,3,,,,,
1.2232427597045898,599,0.578125,3,,,,,
1.1791096925735474,649,0.578125,3,,,,,
1.1725233793258667,699,0.65234375,3,,,,,
,699,,3,,3.6989426612854004,0.15520000457763672,,
,700,,,0.0003,,,,
1.100706696510315,749,0.61328125,4,,,,,
1.0654159784317017,799,0.58984375,4,,,,,
1.0403374433517456,849,0.66015625,4,,,,,
,874,,4,,3.7943577766418457,0.16179999709129333,,
,875,,,0.0003,,,,
1.0559905767440796,899,0.62890625,5,,,,,
1.1149293184280396,949,0.6015625,5,,,,,
,977,,5,,,,0.19979999959468842,3.140254497528076
,977,,5,,,,0.20829999446868896,3.164783477783203
