epoch,train_acc,step,lr-AdamW,train_loss,val_loss,val_acc,test_acc,test_loss
,,0,0.0003,,,,,
0,0.265625,49,,2.0616888999938965,,,,
0,0.296875,99,,1.836687445640564,,,,
0,0.390625,149,,1.656469464302063,,,,
0,0.453125,199,,1.512556552886963,,,,
0,0.3828125,249,,1.6910592317581177,,,,
0,0.453125,299,,1.4862903356552124,,,,
0,0.5234375,349,,1.3656749725341797,,,,
0,,350,,,1.4290891885757446,0.4950000047683716,,
,,351,0.0003,,,,,
1,0.5703125,399,,1.2426434755325317,,,,
1,0.5859375,449,,1.2417738437652588,,,,
1,0.484375,499,,1.3219249248504639,,,,
1,0.546875,549,,1.280441403388977,,,,
1,0.5078125,599,,1.3104565143585205,,,,
1,0.53125,649,,1.278549313545227,,,,
1,0.484375,699,,1.3493151664733887,,,,
1,,701,,,1.209865689277649,0.5631999969482422,,
,,702,0.0003,,,,,
2,0.5390625,749,,1.225324273109436,,,,
2,0.53125,799,,1.281991958618164,,,,
2,0.5546875,849,,1.2303515672683716,,,,
2,0.6015625,899,,1.199452519416809,,,,
2,0.515625,949,,1.1487529277801514,,,,
2,0.5390625,999,,1.2907878160476685,,,,
2,0.5546875,1049,,1.1749452352523804,,,,
2,,1052,,,1.1845488548278809,0.5770000219345093,,
,,1053,0.0003,,,,,
3,0.5859375,1099,,1.0403950214385986,,,,
3,0.6015625,1149,,1.1953016519546509,,,,
3,0.59375,1199,,1.1714004278182983,,,,
3,0.5859375,1249,,1.1644129753112793,,,,
3,0.59375,1299,,1.0889313220977783,,,,
3,0.609375,1349,,1.1390467882156372,,,,
3,0.546875,1399,,1.1299159526824951,,,,
3,,1403,,,1.1196454763412476,0.6011999845504761,,
,,1404,0.0003,,,,,
4,0.59375,1449,,1.1137257814407349,,,,
4,0.625,1499,,1.1899769306182861,,,,
4,0.6484375,1549,,1.0323010683059692,,,,
4,0.59375,1599,,1.0417648553848267,,,,
4,0.6328125,1649,,1.0689798593521118,,,,
4,0.6328125,1699,,1.1612190008163452,,,,
4,0.640625,1749,,1.1437569856643677,,,,
4,,1754,,,1.0456174612045288,0.620199978351593,,
,,1755,0.0003,,,,,
5,0.5234375,1799,,1.2739418745040894,,,,
5,0.5703125,1849,,1.2127289772033691,,,,
5,0.7421875,1899,,0.7780591249465942,,,,
5,0.65625,1949,,0.9306241869926453,,,,
5,0.6171875,1999,,1.0275267362594604,,,,
5,0.6015625,2049,,1.075480580329895,,,,
5,0.671875,2099,,0.9585978388786316,,,,
5,,2105,,,1.0323941707611084,0.6444000005722046,,
,,2106,0.0003,,,,,
6,0.6171875,2149,,1.0372847318649292,,,,
6,0.6796875,2199,,0.9508434534072876,,,,
6,0.671875,2249,,0.9402599334716797,,,,
6,0.609375,2299,,0.989697277545929,,,,
6,0.6953125,2349,,0.8782733082771301,,,,
6,0.6953125,2399,,0.8618990778923035,,,,
6,0.65625,2449,,0.9406992197036743,,,,
